group,filename,hip_ROM,knee_ROM,ankle_ROM,pelvis_obliquity,trunk_lean_ROM,shoulder_ROM,elbow_ROM,hip_SPARC,knee_SPARC,hip_SI,knee_SI,ankle_SI,hip_waveform_sym,cadence,stride_time,stride_time_CV,kinematic_CV,hip_CRP_MAD,hip_knee_CRP,arm_swing_ROM,arm_swing_SI,double_support,MQS,GDI,confidence,observed_fraction,n_strides
control,Gait_Assessment_ZSeARkwLx1Q.mp4,42.939268006919505,18.02177049632445,36.169030601766714,11.978984132456425,8.327192299438032,91.12022987798163,108.8468681760133,-30.293273694996717,-10.082897720150662,45.30369557103234,75.32171366117196,40.438276237588944,29.100458781734854,29.32790224032586,4.091666666666668,74.91005580876543,7.539873121387186,38.516844914144485,49.55271062788731,91.12022987798163,1.8272740503385558,10.416666666666668,27.66680111293973,38.38748228757686,0.2581107345348035,0.7158712541620422,4.0
control,Grace_and_Leon_Walk_Down_a_Hallway_9Lpug4z2c1A.mp4,75.5846369173419,102.27714125142114,79.31144282457265,25.401946819492704,23.308825042553266,117.94723591051198,79.94354383440717,-19.68794856745225,-26.13284811357274,3.99963107933832,10.22194755700394,8.822647613657015,34.40258452576233,40.996441281138786,2.9270833333333335,38.41273951450426,52.298002262402775,85.93330844789709,44.44157403052136,117.94723591051198,3.3428226707960786,15.517241379310342,14.746638325121145,15.638348798111032,0.13394736240943916,0.3293768545994065,4.0
control,How_do_you_assist_someone_to_walk_in_care_3KHgy7zQ4MA.mp4,25.82619936794725,12.571355585940687,12.011636062802822,,,80.21493718559444,139.8669810406319,-21.883058279374872,-13.2596541427811,67.4570426236818,21.96387349984937,6.806644014418721,62.38884659615008,39.301310043668124,3.0533333333333332,97.86726697442309,124.38323054513529,44.730236081432935,56.851518742319,80.21493718559444,14.81188038720695,40.37660787548529,22.400631072525655,11.816095709341823,0.31550764957502125,0.8801597869507324,6.0
control,Nocturnal_Stroll_-_A_Man_s_Walk_on_the_City_Sidewa_q1_nc0ksAXY.mp4,27.669613415895498,13.666556214560156,146.0921965506181,28.479029691704444,,45.6759042082812,30.77612614368708,-27.524076276364916,-31.115652444667646,0.2862275033243747,1.6149093479477332,8.735646296077867,12.728090580440792,99.63099630996308,1.2044444444444447,78.32358663947291,52.73741964877047,104.03240293334314,97.5650477171605,45.6759042082812,4.543125401487231,18.384195783576587,19.339517280449485,34.9224445539627,0.5704129510773376,0.7952167414050823,18.0
control,Normal_Gait_xl4jx0WN5_E.mp4,113.96893853050082,153.06768390877397,119.12830762753764,37.96275258990032,87.93947271012743,149.26856086862276,150.10825942675842,-37.33617432057309,-36.85964542117484,12.987223626433025,22.292445932885368,9.770359583360474,68.17110676980728,33.454917175847406,3.5869166666666668,86.21730378611421,49.03463537120913,36.892274104783475,79.44840252430176,149.26856086862276,74.42243802131429,9.338272866632602,14.667155978069246,0.0,0.15563607944677532,0.37735849056603776,8.0
control,People_Walking_Free_Stock_Footage_Royalty-Free_No__YzcawvDGe4Y.mp4,87.60613866924677,74.64541234385979,129.8567310600484,26.751544417727587,,162.85639616903626,169.86800965481166,-44.88280425625645,-36.945287393835514,16.3153264425452,2.4123328488101485,5.934957679919361,47.895301651893455,104.79031458052435,1.1451440000000002,72.00552603239123,53.36022937370172,87.67054954671913,90.90932705662865,162.85639616903626,4.403613779300434,26.14253003459449,25.790502684439037,31.940139244223687,0.6841391907084712,0.9667036625971143,25.0
control,people_walking_on_street_people_stock_footage_free_-d_iBRRVlVE.mp4,89.18480750468515,95.47921772698602,74.34806022460083,37.06643001541377,87.90592553164286,149.87449955688965,157.74616156807576,-18.30969741284794,-19.953438026622088,17.246896140279258,47.6228586113421,6.721798494664374,46.69082956260766,142.85714285714283,0.8400000000000001,57.617079856206374,47.08700917445575,68.98399691810965,66.57832879156638,149.87449955688965,15.152106444089275,12.36924428228776,20.13977322698731,20.756726951613068,0.410383386464941,0.7947976878612717,15.0
control,Phases_of_Walking_Gait_HypJY1XWkWY.mp4,27.275706635527555,64.26628606545509,46.95961537031704,35.37630047131512,,54.14877866199362,77.96809052972716,-27.650101149631425,-18.749709875909033,21.854584852815,30.976797203247525,34.87533645016248,31.52798511883609,41.69743300178083,2.877875,116.34505521360072,53.597104575323606,77.08731765932379,61.74363256125266,54.14877866199362,45.7706507952671,35.72237324748373,24.371101345819792,53.68502241514405,0.7017453475680857,0.9764216366158114,7.0
control,Rear_View_Pedestrians_Walking_In_Busy_Street_-_4K_hs6Lyjw1bKk.mp4,61.96721508604074,35.41330098281654,25.754734669866767,24.743812669490325,,85.02508981889707,64.56615537838681,-9.617841740566785,-7.1068913775001565,7.189672812851514,44.71551615612858,10.107045664164714,90.10218570183861,0.0,,,,59.24094418347878,37.69820234849411,85.02508981889707,18.830208645970544,,37.48013535230943,,0.21145338004118583,0.6666666666666666,0.0
control,teens_walking_down_hallway_transition_RpVLWEXZ914.mp4,102.87674905372438,128.91875219439567,131.1132988701812,36.58172811545573,33.98665234168147,119.5855355001677,161.51374908943876,-25.886850619714938,-24.903594057112926,4.968393114947498,8.164012479688482,7.6338948650484975,46.46772478845609,75.12070175255553,1.5974291666666667,58.815161775181494,52.51884271712021,62.78247228666589,56.10025476172735,119.5855355001677,4.748254108085437,18.83564236505413,19.127712937971125,14.366645883513385,0.5393238916834964,0.9621621621621622,8.0
control,The_Gait_Assessment_DOpCKQJC2hU.mp4,56.52467493828724,46.301020463401414,78.7357163336801,37.822759744118805,3.552713678800501e-14,114.40733348544627,86.32925039300595,-23.9070738867768,-17.58506991535687,110.03175044752976,2.543977842267158,5.141834732087883,17.379615229195984,14.925373134328357,8.040000000000001,113.69510862378296,40.91448353212758,67.38413573210366,71.97069705509173,114.40733348544627,38.53030289868358,16.191687871077182,14.061305579412556,41.905524984884536,0.5494638840690308,0.800266311584554,3.0
control,Walking_In_Street_Casual_Fashion_Magno_Scavo_oR6H0LuZWVQ.mp4,117.54476005728836,148.43371064697783,96.27314767248546,35.14325029547676,61.10568169646103,155.84881287537954,172.21663578947806,-34.92957922233652,-34.156546031404375,6.84418851973713,20.694631901271965,3.770620660697823,81.61123973856657,47.840531561461795,2.5083333333333333,69.48447600119822,53.42176581482055,38.04138161507402,89.91194792827648,155.84881287537954,19.86828464598111,34.484254287505564,17.90807699505046,1.6730459049749982,0.3029552824842431,0.7691453940066593,8.0
control,Watch_video_-_Barack_Obama_surprise_walk_in_park_pJkIDYveNjk.mp4,49.21535472778763,32.034495809464715,57.033482136200135,26.554157701057363,,73.43972220583228,153.87138622715605,-19.2933309894777,-22.807737416046955,58.62343573931099,27.394119767379554,28.54258440493541,67.48561786946544,33.80078568048493,3.5502133333333337,69.52549901906792,104.1529117591971,43.66004589963276,38.706467834124894,73.43972220583228,16.8210406543807,31.7543808382767,22.941443813343778,29.897800620538327,0.24599576702962778,0.7350199733688415,6.0
control,Why_Incline_Treadmill_Walking_Burns_More_Fat_In_Un_MJ1Jdu1QTUk.mp4,116.07785142601183,143.18317379751798,77.82244641360151,34.948091259300185,,130.35008930392127,137.00774610997854,-34.73555323348252,-35.55454139312064,6.271254241204849,41.39500168305514,10.280485498121426,70.34713647237122,64.63195691202873,1.8566666666666667,70.81009351992743,72.38869274730374,58.36660186654724,62.33549889022151,130.35008930392127,4.728342109585823,14.095069879585626,19.53397053215027,10.7611570833894,0.3954376898116252,0.9833333333333333,10.0
